Loop/Rec Name,Field Name,Description,Type,Dec,Format,Start,End,Length,Occ,Mapped,Default Value,Correlation,Comments,Spec Logic
,L5_FLR9,,AN,,,153,153,1,O,,,,,
,L509,,AN,,,154,183,30,O,,,,,
,L5_FLR10,,AN,,,184,184,1,O,,,,,
,L510,,AN,,,185,185,1,O,,,,,
,L5_FILLER,,AN,,,186,1209,1024,O,,,,,
H1,,,RC,,,,,,0 .. 1,,,,,
,H1_RecID,,RT,,,1,4,4,M,,"""H1""","""H1""",,
,H1_FLR1,,AN,,,5,5,1,O,,,,,
,H101,,AN,,,6,15,10,O,,,,,
,H1_FLR2,,AN,,,16,16,1,O,,,,,
,H102,,AN,,,17,20,4,O,,,,,
,H1_FLR3,,AN,,,21,21,1,O,,,,,
,H103,,AN,,,22,22,1,O,,,,,
,H1_FILLER,,AN,,,21,1044,1024,O,,,,,
L0,,,RC,,,,,,0 .. *,,,,,
,L0_RecordID,,RT,,,1,4,4,M,,"""L0""","""L0""",,
,L0_FLR1,,AN,,,5,5,1,O,,,,,
,L001,,N,,N0,6,8,3,O,,,,,
,L0_FLR2,,AN,,,9,9,1,O,,,,,
,L002,,N,,R,10,20,11,O,,,,,
,L0_FLR3,,AN,,,21,21,1,O,,,,,
,L003,,AN,,,22,23,2,O,,,,,
,L0_FLR4,,AN,,,24,24,1,O,,,,,
,L004,,N,,R,25,34,10,O,,,,,
,L0_FLR5,,AN,,,35,35,1,O,,,,,
,L005,,AN,,,36,37,2,O,,,,,
,L0_FLR6,,AN,,,38,38,1,O,,,,,
,L006,,N,,R,39,46,8,O,,,,,
,L0_FLR7,,AN,,,47,47,1,O,,,,,
,L007,,AN,,,48,48,1,O,,,,,
,L0_FLR8,,AN,,,49,49,1,O,,,,,
,L008,,N,,N0,50,56,7,O,,,,,
,L0_FLR9,,AN,,,57,57,1,O,,,,,
,L009,,AN,,,58,60,3,O,,,,,
,L0_FLR10,,AN,,,61,61,1,O,,,,,
,L010,,AN,,,62,86,25,O,,,,,
,L0_FLR11,,AN,,,87,87,1,O,,,,,
,L011,,AN,,,88,88,1,O,,,,,
,L0_FLR12,,AN,,,89,89,1,O,,,,,
,L012,,AN,,,90,91,2,O,,,,,
,L0_FLR13,,AN,,,92,92,1,O,,,,,
,L013,,N,,R,93,107,15,O,,,,,
,L0_FLR14,,AN,,,108,108,1,O,,,,,
,L014,,AN,,,109,111,3,O,,,,,
,L0_FLR15,,AN,,,112,112,1,O,,,,,
,L015,,AN,,,113,113,1,O,,,,,
,L0_FILLER,,AN,,,114,1137,1024,O,,,,,
L1,,,RC,,,,,,0 .. *,,,,,
,L1_RecordID,,AN,,,1,4,4,M,,"""L1""","""L1""",,
,L1_FLR1,,AN,,,5,5,1,O,,,,,
,L101,,N,,N0,6,8,3,O,,,,,
,L1_FLR2,,AN,,,9,9,1,O,,,,,
,L102,,N,,R,10,20,11,O,,,,,
,L1_FLR3,,AN,,,21,21,1,O,,,,,
,L103,,AN,,,22,23,2,O,,,,,
,L1_FLR4,,AN,,,24,24,1,O,,,,,
,L104,,N,,N2,25,39,15,O,,,,,
,L1_FLR5,,AN,,,40,40,1,O,,,,,
,L105,,N,,N2,41,49,9,O,,,,,
,L1_FLR6,,AN,,,50,50,1,O,,,,,
